TITLE,DATE
"
			FNC 측 ""AOA 민아 탈퇴, 지민X설현등 5인 재계약 및 팀 유지""
		",2019.05.13. 오전 10:47
"
			AOA 민아 팀 탈퇴 … 지민·유나·혜정·설현·찬미만 FNC와 재계약 [공식]
		",2019.05.13. 오전 10:34
"연예 마켓+ㅣ승리, 성접대 의혹 이어 몰카 '충격'…YG에 SM·FNC까지 주가 폭락 왜",2019-03-11 17:34
'승리 게이트'에 YG·FNC 등 엔터주 시총 6000억 가까이 날아가,2019-03-17 10:08
"
			FNC ""이종현 성추행 의혹은 루머…법적 대응""
		",2019.03.16. 오후 9:42
"FNC ""최종훈·이종현, 승리·정준영 사건 관련 없다"" [공식입장]",2019-03-13 7:22
"
			FNC 측 ""최종훈 FT아일랜드 탈퇴…사안 감추려는 의도 없었다""
		",2019.03.14. 오후 4:55
"
			'구해줘2' 성혁 ""순박 청년 병률, 도전할 수 있어 감사""…종영 소감
		",2019.06.28. 오전 8:19
"
			SF9, 신곡 'RPM' 안무영상 공개…'긴장감 넘치는 비트+강렬한 군무'
		",2019.06.21. 오전 8:12
"
			'컴백 D-1' SF9, 'RPM' 하이라이트 메들리 공개…전곡 멤버 참여
		",2019.06.16. 오전 10:54
"
			'컴백 D-3' SF9, 'RPM' MV 티저 공개…파워풀+섹시 퍼포먼스
		",2019.06.14. 오전 8:19
"
			'건강이상설' 김용만 측 ""이번 주부터 녹화 정상 참여""
		",2019.06.06. 오후 3:18
"
			SF9 로운X찬희X인성, 'RPM' 재킷 포스터 공개…극과 극 매력 '눈길'
		",2019.06.12. 오전 8:21
"
			SF9 다원∙휘영∙영빈, 새 앨범 'RPM' 재킷 포스터 공개…반전 섹시美
		",2019.06.11. 오전 8:18
"
			그룹 SF9, 새앨범 ‘RPM’ 프로모션 일정 공개
		",2019.06.06. 오후 1:55
"
			연예 마켓+ㅣ승리 성매매 알선 혐의…추락하는 YG, 빈자리 채울 신흥 강자는 누구?
		",2019.03.11. 오전 9:09
"
			[종합] AOA 민아, 말 없이 떠나나…SNS 게시물까지 모두 삭제
		",2019.05.13. 오후 1:32
"
			[종합] AOA 민아 탈퇴, 유경·초아 이은 세 번째 팀 변화…5인조로 열 2막
		",2019.05.13. 오후 2:24
"
			AOA 민아 탈퇴 심경 ""미안하고 감사해""…SNS 게시글 삭제 후 첫 사진
		",2019.05.14. 오전 9:50
박진영 연예인 주식부호 1위…JYP 지분 가치 1922억원,2019-04-21 9:30
"
			AOA 혜정♥류의현, 열애 인정…드라마 호흡으로 싹 튼 인연 [공식입장]
		",2019.04.08. 오후 1:17
