BTS의 빅히트엔터 예비심사 통과…연내 상장 '청신호',2020-08-08 1:41
"
			'컴백' 박진영, 이번에는 '애제자' 선미다…댄싱킹X댄싱퀸 만남 기대
		",2020.08.03. 오전 9:34
"
			中 웨이션V·日 JO1…현지 합작 K팝, 잇단 흥행
		",2020.06.29. 오후 5:03
"
			'컴백 D-DAY' 백아연, 신곡 '썸 타긴 뭘 타' 기대 포인트 셋
		",2020.06.16. 오전 8:00
"
			[인터뷰+] 나띠 ""'나인틴'에 이룬 데뷔, 태국 '나띠맘'들도 응원하고 있어요""
		",2020.06.11. 오전 9:18
"
			트와이스 '광폭 행보'
		",2020.06.02. 오후 4:21
박진영·김호중·허지웅·전효성…서점가 '연예인 에세이' 인기,2020-08-30 16:46
"[연예 마켓+] 1인 가치 2000억, 한류는 보아 데뷔 전·후로 나뉜다",2020-08-23 8:32
"
			ITZY 'Not Shy', 초동 14만장 돌파…자체 최고 신기록
		",2020.08.25. 오후 4:38
"
			'브린이의 연봉협상' 백아연, 음원 수익→실제 연애 스타일까지 '솔직 고백'
		",2020.08.23. 오후 12:02
"[연예 마켓+] 방탄소년단 잇겠다더니…TXT도, '아이랜드'도 어쩌나",2020-08-15 11:43
"
			'유퀴즈' 또 역대 최고 시청률 경신…PD ""자기님들에 감사""
		",2020.08.20. 오전 11:23
"
			'유퀴즈' 박진영, 신곡에 들어간 유재석 춤→ 비닐 바지 데뷔 직접 밝힌다
		",2020.08.19. 오전 11:53
"
			정연 불참, 건강 문제로 '소리바다 어워즈' 참석 못해 [공식]
		",2020.08.13. 오후 4:07
"
			'비욘드 라이브' 트와이스, 원스와 랜선 월드투어 클리어…1억 ♥ 물결 [종합]
		",2020.08.09. 오후 4:39
"[연예 마켓+] 뮤지컬도 되고, 야구도 되는데…왜 '미스터트롯'만 안되나요?",2020-08-01 8:39
"
			박진영, 선미 손 잡고 디스코 열풍 일으킬까…'웬 위 디스코' 호흡 기대
		",2020.08.07. 오전 9:56
이날치·박문치·백예린…'K인디 성지' 된 온스테이지,2020-07-26 16:49
한한령 해제 기대감에…中 소비株 날았다,2020-06-30 17:16
"
			‘5일 결혼’ 우혜림, 손 편지로 결혼 소감…“예쁘게 잘 살겠다”
		",2020.07.01. 오후 4:18
中 최대 여행사 방한상품 판매…'한한령 해제' 청신호? [종합],2020-06-30 14:33
"
			트와이스 '모어 앤드 모어' 걸그룹 최고 판매량 기록 경신
		",2020.07.04. 오전 12:58
"
			우영 전액기부, 애장품 판매 수익 어린이 위해 쾌척
		",2020.07.01. 오후 5:55
"
			백아연, 신곡 ‘썸 타긴 뭘 타’ 음악 방송 활동 마무리…""컴백 시키 당길 것""
		",2020.06.29. 오전 7:50
"
			'온앤오프' 유빈, '프로' 아티스트vs'새내기 CEO' 이중생활
		",2020.06.18. 오후 4:51
