"
			YG 신인 걸그룹 론칭 계획, 블랙핑크 이후 4년만
		",2020.02.27. 오후 3:44
"양현석, 공익제보자 협박…경찰, '기소의견'으로 검찰에 송치",2020-04-27 14:16
"
			YG 신인 트레저, 지난해 데뷔 불발 딛고 12인조로 재편…하윤빈 탈퇴 [공식입장]
		",2020.01.06. 오후 12:20
"
			양현석, 비아이 마약 수사 방해→'기소의견' 송치
		",2020.04.27. 오후 5:43
"
			남주혁, 탈 YG?…공유 소속사 숲엔터테인먼트와 전속계약 '논의 중'
		",2020.03.11. 오전 9:38
"
			YG 신인 트레저 준규, 첫 커버 비디오로 빛난 '음색요정'
		",2020.03.21. 오후 4:55
"
			YG, 빅뱅과 15년 신뢰 이어간다…세 번째 재계약 체결
		",2020.03.11. 오전 11:27
"
			빅뱅, YG와 재계약 마쳤다…컴백 준비 박차 [공식]
		",2020.03.11. 오전 9:36
"연계소문｜버닝썬 사태 1년…승리는 군대로, YG는 정상화의 길로?",2020-03-08 8:29
다시 춤추는 YG엔터테인먼트,2020-01-06 16:38
"
			YG 신인 트레저, 새 리얼리티 '팩트체크' 첫 공개…""팬 궁금증 해소""
		",2020.03.09. 오후 12:52
"
			'YG 신인' 트레저, 잠버릇부터 식성까지 'TMI' 대방출
		",2020.02.24. 오후 12:42
"
			YG 트레저 방예담, 커버 비디오 공개 '압도적 흡인력'
		",2020.02.15. 오후 1:11
"
			'YG 신인' 트레저 마시호·윤재혁·아사히·방예담, 이렇게 싱그러울 수가
		",2020.02.18. 오후 4:31
"
			YG ""아이콘 신보에 비아이 참여곡 수록""…결국 음악으로 함께 [전문]
		",2020.01.29. 오전 11:37
"
			YG 신인 트레저 12인, '미쳐가네' 이모지 버전 공개(ft. 깜찍)
		",2020.02.10. 오후 1:24
"
			'탈 YG' 이하이, 선미와 한솥밥 먹나…메이크어스 ""전속계약 긍정 검토 중"" [공식]
		",2020.01.22. 오후 5:19
"
			'YG 신인' 트레저, 완전체 첫 퍼포먼스…12인 보석 칼군무 '미쳐가네'
		",2020.01.30. 오후 1:01
"
			'YG 신인' 트레저, 시그널송 '미쳐가네' 안무 영상 '커밍순'
		",2020.01.29. 오후 12:47
"
			YG 신인 트레저, '미쳐가네' 퍼포먼스 필름 공개…2일 만 250만뷰 돌파
		",2020.02.01. 오후 12:49
"[단독] 4인 빅뱅, YG와 함께 가나…재계약 '긍정적'",2020-01-03 16:38
"
			YG갔던 '라스' 조서윤·'무한도전' 제영재 PD, 티캐스트로
		",2020.01.02. 오후 6:08
"
			'28일 컴백' 젝스키스, 4인조 개편 후 첫 앨범…2020 YG 첫 주자
		",2020.01.07. 오전 10:49
"
			YG, '트레저' 최현석X지훈X요시X준규 프로필 공개…기대감 ↑
		",2020.01.08. 오후 12:40
"
			YG 측 ""TREASURE 데뷔 확정…하윤빈 계약 해지→12인조 재정비""
		",2020.01.06. 오후 12:22
"와이지엔터테인먼트, 빅뱅 재계약보다 더 반가운 체질 개선…목표가↑-하나",2020-01-06 7:52
