Date,Rank,Title,Artist,Score,entertain
2018-11-11,24,IDOL,방탄소년단,8,하이브
2018-11-11,42,FAKE LOVE,방탄소년단,6,하이브
2018-11-11,46,I'm Fine,방탄소년단,6,하이브
2018-11-11,54,봄날,방탄소년단,5,하이브
2018-11-11,68,Euphoria,방탄소년단,4,하이브
2018-11-11,71,DNA,방탄소년단,3,하이브
2018-11-11,77,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-11,83,Answer : Love Myself,방탄소년단,2,하이브
2018-11-11,95,Epiphany,방탄소년단,1,하이브
2018-11-12,26,IDOL,방탄소년단,8,하이브
2018-11-12,44,FAKE LOVE,방탄소년단,6,하이브
2018-11-12,55,I'm Fine,방탄소년단,5,하이브
2018-11-12,59,봄날,방탄소년단,5,하이브
2018-11-12,71,DNA,방탄소년단,3,하이브
2018-11-12,73,Euphoria,방탄소년단,3,하이브
2018-11-12,80,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-12,83,Answer : Love Myself,방탄소년단,2,하이브
2018-11-12,93,Epiphany,방탄소년단,1,하이브
2018-11-12,100,Anpanman,방탄소년단,1,하이브
2018-11-13,24,IDOL,방탄소년단,8,하이브
2018-11-13,47,FAKE LOVE,방탄소년단,6,하이브
2018-11-13,53,I'm Fine,방탄소년단,5,하이브
2018-11-13,59,봄날,방탄소년단,5,하이브
2018-11-13,72,DNA,방탄소년단,3,하이브
2018-11-13,77,Euphoria,방탄소년단,3,하이브
2018-11-13,80,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-13,83,Answer : Love Myself,방탄소년단,2,하이브
2018-11-13,93,Epiphany,방탄소년단,1,하이브
2018-11-13,99,Anpanman,방탄소년단,1,하이브
2018-11-14,24,IDOL,방탄소년단,8,하이브
2018-11-14,44,FAKE LOVE,방탄소년단,6,하이브
2018-11-14,53,I'm Fine,방탄소년단,5,하이브
2018-11-14,58,봄날,방탄소년단,5,하이브
2018-11-14,71,DNA,방탄소년단,3,하이브
2018-11-14,75,Euphoria,방탄소년단,3,하이브
2018-11-14,80,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-14,81,Answer : Love Myself,방탄소년단,2,하이브
2018-11-14,92,Epiphany,방탄소년단,1,하이브
2018-11-14,96,Anpanman,방탄소년단,1,하이브
2018-11-14,100,Trivia 轉 : Seesaw,방탄소년단,1,하이브
2018-11-15,24,IDOL,방탄소년단,8,하이브
2018-11-15,45,FAKE LOVE,방탄소년단,6,하이브
2018-11-15,54,I'm Fine,방탄소년단,5,하이브
2018-11-15,58,봄날,방탄소년단,5,하이브
2018-11-15,70,DNA,방탄소년단,4,하이브
2018-11-15,76,Euphoria,방탄소년단,3,하이브
2018-11-15,81,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-11-15,83,Answer : Love Myself,방탄소년단,2,하이브
2018-11-15,92,Epiphany,방탄소년단,1,하이브
2018-11-15,97,Anpanman,방탄소년단,1,하이브
2018-11-16,25,IDOL,방탄소년단,8,하이브
2018-11-16,41,FAKE LOVE,방탄소년단,6,하이브
2018-11-16,52,I'm Fine,방탄소년단,5,하이브
2018-11-16,59,봄날,방탄소년단,5,하이브
2018-11-16,69,DNA,방탄소년단,4,하이브
2018-11-16,74,Euphoria,방탄소년단,3,하이브
2018-11-16,79,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-16,82,Answer : Love Myself,방탄소년단,2,하이브
2018-11-16,92,Epiphany,방탄소년단,1,하이브
2018-11-16,94,Anpanman,방탄소년단,1,하이브
2018-11-16,100,Trivia 轉 : Seesaw,방탄소년단,1,하이브
2018-11-17,25,IDOL,방탄소년단,8,하이브
2018-11-17,41,FAKE LOVE,방탄소년단,6,하이브
2018-11-17,51,I'm Fine,방탄소년단,5,하이브
2018-11-17,58,봄날,방탄소년단,5,하이브
2018-11-17,66,DNA,방탄소년단,4,하이브
2018-11-17,71,Euphoria,방탄소년단,3,하이브
2018-11-17,76,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-17,81,Answer : Love Myself,방탄소년단,2,하이브
2018-11-17,89,Epiphany,방탄소년단,2,하이브
2018-11-17,95,Anpanman,방탄소년단,1,하이브
2018-11-17,98,Trivia 轉 : Seesaw,방탄소년단,1,하이브
2018-11-18,25,IDOL,방탄소년단,8,하이브
2018-11-18,45,FAKE LOVE,방탄소년단,6,하이브
2018-11-18,52,I'm Fine,방탄소년단,5,하이브
2018-11-18,60,봄날,방탄소년단,5,하이브
2018-11-18,72,DNA,방탄소년단,3,하이브
2018-11-18,75,Euphoria,방탄소년단,3,하이브
2018-11-18,80,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-18,84,Answer : Love Myself,방탄소년단,2,하이브
2018-11-18,93,Epiphany,방탄소년단,1,하이브
2018-11-18,100,Anpanman,방탄소년단,1,하이브
2018-11-19,26,IDOL,방탄소년단,8,하이브
2018-11-19,47,FAKE LOVE,방탄소년단,6,하이브
2018-11-19,60,I'm Fine,방탄소년단,5,하이브
2018-11-19,65,봄날,방탄소년단,4,하이브
2018-11-19,80,DNA,방탄소년단,3,하이브
2018-11-19,83,Euphoria,방탄소년단,2,하이브
2018-11-19,90,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-11-19,95,Answer : Love Myself,방탄소년단,1,하이브
2018-11-19,100,Epiphany,방탄소년단,1,하이브
2018-11-20,26,IDOL,방탄소년단,8,하이브
2018-11-20,45,FAKE LOVE,방탄소년단,6,하이브
2018-11-20,60,봄날,방탄소년단,5,하이브
2018-11-20,61,I'm Fine,방탄소년단,4,하이브
2018-11-20,79,DNA,방탄소년단,3,하이브
2018-11-20,83,Euphoria,방탄소년단,2,하이브
2018-11-20,85,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-11-20,95,Answer : Love Myself,방탄소년단,1,하이브
2018-11-20,100,Epiphany,방탄소년단,1,하이브
2018-11-21,25,IDOL,방탄소년단,8,하이브
2018-11-21,47,FAKE LOVE,방탄소년단,6,하이브
2018-11-21,59,봄날,방탄소년단,5,하이브
2018-11-21,60,I'm Fine,방탄소년단,5,하이브
2018-11-21,77,DNA,방탄소년단,3,하이브
2018-11-21,84,Euphoria,방탄소년단,2,하이브
2018-11-21,87,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-11-21,96,Answer : Love Myself,방탄소년단,1,하이브
2018-11-21,100,Epiphany,방탄소년단,1,하이브
2018-11-22,25,IDOL,방탄소년단,8,하이브
2018-11-22,47,FAKE LOVE,방탄소년단,6,하이브
2018-11-22,56,봄날,방탄소년단,5,하이브
2018-11-22,58,I'm Fine,방탄소년단,5,하이브
2018-11-22,72,DNA,방탄소년단,3,하이브
2018-11-22,78,Euphoria,방탄소년단,3,하이브
2018-11-22,83,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-11-22,91,Answer : Love Myself,방탄소년단,1,하이브
2018-11-23,26,IDOL,방탄소년단,8,하이브
2018-11-23,47,FAKE LOVE,방탄소년단,6,하이브
2018-11-23,57,봄날,방탄소년단,5,하이브
2018-11-23,59,I'm Fine,방탄소년단,5,하이브
2018-11-23,72,DNA,방탄소년단,3,하이브
2018-11-23,77,Euphoria,방탄소년단,3,하이브
2018-11-23,80,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-23,91,Answer : Love Myself,방탄소년단,1,하이브
2018-11-24,27,IDOL,방탄소년단,8,하이브
2018-11-24,45,FAKE LOVE,방탄소년단,6,하이브
2018-11-24,55,봄날,방탄소년단,5,하이브
2018-11-24,59,I'm Fine,방탄소년단,5,하이브
2018-11-24,72,DNA,방탄소년단,3,하이브
2018-11-24,78,Euphoria,방탄소년단,3,하이브
2018-11-24,81,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-11-24,93,Answer : Love Myself,방탄소년단,1,하이브
2018-11-25,27,IDOL,방탄소년단,8,하이브
