Date,Rank,Title,Artist
2022-06-02,98,Real Love,오마이걸 (OH MY GIRL)
2022-06-02,99,DON QUIXOTE,세븐틴 (SEVENTEEN)
2022-06-02,100,Starlight,태일 (TAEIL)
2022-06-03,1,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
2022-06-03,2,TOMBOY,(여자)아이들
2022-06-03,3,LOVE DIVE,IVE (아이브)
2022-06-03,4,사랑인가 봐,멜로망스
2022-06-03,5,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2022-06-03,6,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2022-06-03,7,나의 X에게,경서
2022-06-03,8,LOVE me,BE'O (비오)
2022-06-03,9,Feel My Rhythm,Red Velvet (레드벨벳)
2022-06-03,10,FEARLESS,LE SSERAFIM (르세라핌)
2022-06-03,11,취중고백,김민석 (멜로망스)
2022-06-03,12,GANADARA (Feat. 아이유),박재범
2022-06-03,13,사랑은 늘 도망가,임영웅
2022-06-03,14,신호등,이무진
2022-06-03,15,ZOOM,제시 (Jessi)
2022-06-03,16,INVU,태연 (TAEYEON)
2022-06-03,17,다정히 내 이름을 부르면,"전건호, 경서예지"
2022-06-03,18,ELEVEN,IVE (아이브)
2022-06-03,19,듣고 싶을까,MSG워너비(M.O.M)
2022-06-03,20,MY BAG,(여자)아이들
2022-06-03,21,STAY,"Justin Bieber, The Kid LAROI"
2022-06-03,22,우리들의 블루스,임영웅
2022-06-03,23,내가 아니라도,주호
2022-06-03,24,That's Hilarious,Charlie Puth
2022-06-03,25,Next Level,aespa
2022-06-03,26,너를 생각해,주시크 (Joosiq)
2022-06-03,27,Weekend,태연 (TAEYEON)
2022-06-03,28,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
2022-06-03,29,언제나 사랑해,케이시 (Kassy)
2022-06-03,30,SMILEY (Feat. BIBI),YENA (최예나)
2022-06-03,31,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
2022-06-03,32,다시 만날 수 있을까,임영웅
2022-06-03,33,드라마,아이유
2022-06-03,34,Dynamite,방탄소년단
2022-06-03,35,너의 모든 순간,성시경
2022-06-03,36,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
2022-06-03,37,HOT,세븐틴 (SEVENTEEN)
2022-06-03,38,아무래도 난,주시크 (Joosiq)
2022-06-03,39,strawberry moon,아이유
2022-06-03,40,내 손을 잡아,아이유
2022-06-03,41,RUN2U,STAYC(스테이씨)
2022-06-03,42,Butter,방탄소년단
2022-06-03,43,Seoul,볼빨간사춘기
2022-06-03,44,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)"
2022-06-03,45,바라만 본다,MSG워너비(M.O.M)
2022-06-03,46,이제 나만 믿어요,임영웅
2022-06-03,47,"스물다섯, 스물하나",자우림
2022-06-03,48,라일락,아이유
2022-06-03,49,호랑수월가,탑현
2022-06-03,50,Beatbox,NCT DREAM
2022-06-03,51,눈이 오잖아(Feat.헤이즈),이무진
2022-06-03,52,Counting Stars (Feat. Beenzino),BE'O (비오)
2022-06-03,53,Celeb,싸이 (PSY)
2022-06-03,54,Permission to Dance,방탄소년단
2022-06-03,55,미친 것처럼,V.O.S
2022-06-03,56,Savage,aespa
2022-06-03,57,밤하늘의 별을(2020),경서
2022-06-03,58,Celebrity,아이유
2022-06-03,59,Off My Face,Justin Bieber
2022-06-03,60,롤린 (Rollin'),브레이브걸스
2022-06-03,61,Bad Habits,Ed Sheeran
2022-06-03,62,고백,멜로망스
2022-06-03,63,Step Back,GOT the beat
2022-06-03,64,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
2022-06-03,65,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2022-06-03,66,Darl+ing,세븐틴 (SEVENTEEN)
2022-06-03,67,Blueming,아이유
2022-06-03,68,문득,BE'O (비오)
2022-06-03,69,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
2022-06-03,70,Dun Dun Dance,오마이걸 (OH MY GIRL)
2022-06-03,71,헤픈 우연,헤이즈 (Heize)
2022-06-03,72,존재만으로,원슈타인
2022-06-03,73,팡파레,다비치
2022-06-03,74,사랑인걸,한동근
