Date,Rank,Title,Artist
2020-01-02,33,다시 만날까 봐,V.O.S
2020-01-02,34,시간의 바깥,아이유
2020-01-02,35,"Show Yourself (From ""Frozen 2""/Soundtrack Version)","Evan Rachel Wood, Idina Menzel"
2020-01-02,36,Obsession,EXO
2020-01-02,37,불티 (Spark),태연 (TAEYEON)
2020-01-02,38,BAND,"창모 (CHANGMO), Hash Swan, 김효은, ASH ISLAND"
2020-01-02,39,기억해줘요 내 모든 날과 그때를,거미
2020-01-02,40,사랑에 연습이 있었다면 (Prod. 2soo),임재현
2020-01-02,41,bad guy,Billie Eilish
2020-01-02,42,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz)
2020-01-02,43,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원)
2020-01-02,44,워커홀릭,볼빨간사춘기
2020-01-02,45,너를 만나,폴킴
2020-01-02,46,Señorita,"Shawn Mendes, Camila Cabello"
2020-01-02,47,Santa Tell Me,Ariana Grande
2020-01-02,48,그대라는 시,태연 (TAEYEON)
2020-01-02,49,술이 문제야,"장혜진, 윤민수(바이브)"
2020-01-02,50,가을밤 떠난 너,케이시 (Kassy)
2020-01-02,51,Snowman,Sia
2020-01-02,52,Feel Special,TWICE (트와이스)
2020-01-02,53,숨겨진 세상 (Into the Unknown End Credit Version) (겨울왕국2),태연 (TAEYEON)
2020-01-02,54,잘 살고 있다,V.O.S
2020-01-02,55,허전해,폴킴
2020-01-02,56,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE)
2020-01-02,57,사계 (Four Seasons),태연 (TAEYEON)
2020-01-02,58,Flower,윤미래
2020-01-02,59,Paris in the Rain,Lauv
2020-01-02,60,All I Want for Christmas Is You,Mariah Carey
2020-01-02,61,헤어지자 (Prod. 정키),휘인 (Whee In)
2020-01-02,62,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB)
2020-01-02,63,중2병,"The Quiett, 팔로알토 (Paloalto), 염따, 딥플로우, 사이먼 도미닉"
2020-01-02,64,"Speechless (Full) (From ""Aladdin""/Soundtrack Version)",Naomi Scott
2020-01-02,65,unlucky,아이유
2020-01-02,66,LION,(여자)아이들
2020-01-02,67,너에게 못했던 내 마지막 말은,다비치
2020-01-02,68,샤넬 (Feat. 박봄),MC몽
2020-01-02,69,봄날,방탄소년단
2020-01-02,70,주저하는 연인들을 위해,잔나비
2020-01-02,71,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),염따
2020-01-02,72,영화 속에 나오는 주인공처럼,펀치 (Punch)
2020-01-02,73,노을,다비치
2020-01-02,74,나의 어깨에 기대어요,10CM
2020-01-02,75,날 보러 와요 (Come See Me),AOA
2020-01-02,76,헤어져줘서 고마워,벤
2020-01-02,77,벗,닐로(Nilo)
2020-01-02,78,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
2020-01-02,79,우리 어떻게 할까요,첸 (CHEN)
2020-01-02,80,우리 왜 헤어져야 해,신예영
2020-01-02,81,이별행동,이우
2020-01-02,82,IDOL,방탄소년단
2020-01-02,83,크리스마스니까,"박효신, 성시경, 이석훈, 서인국, VIXX (빅스)"
2020-01-02,84,솔직하게 말해서 나,김나영
2020-01-02,85,그 사람,아이유
2020-01-02,86,Popo (How deep is our love?),백예린 (Yerin Baek)
2020-01-02,87,텅 (Feat.김하온 (HAON)),빈첸
2020-01-02,88,소우주 (Mikrokosmos),방탄소년단
2020-01-02,89,그때의 우리,펀치 (Punch)
2020-01-02,90,Trouble,EXO
2020-01-02,91,그때가 좋았어,케이시 (Kassy)
2020-01-02,92,0310,백예린 (Yerin Baek)
2020-01-02,93,나비효과 (Butterfly Effect),EXO
2020-01-02,94,"FEVER (Feat. 수퍼비, BIBI)",박진영
2020-01-02,95,춤 (Groove),EXO
2020-01-02,96,지킬 (Jekyll),EXO
2020-01-02,97,나를 기다렸나요,한동근
2020-01-02,98,떨어지는 낙엽까지도,헤이즈 (Heize)
2020-01-02,99,Ya Ya Ya,EXO
2020-01-02,100,오늘도 (Day After Day),EXO
2020-01-03,1,METEOR,창모 (CHANGMO)
2020-01-03,2,Psycho,Red Velvet (레드벨벳)
2020-01-03,3,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","The Quiett, 팔로알토 (Paloalto), 염따, 딥플로우, 사이먼 도미닉"
2020-01-03,4,Blueming,아이유
2020-01-03,5,늦은 밤 너의 집 앞 골목길에서,노을
2020-01-03,6,Square (2017),백예린 (Yerin Baek)
2020-01-03,7,HIP,마마무 (Mamamoo)
2020-01-03,8,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영
2020-01-03,9,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2020-01-03,10,Love poem,아이유
2020-01-03,11,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
2020-01-03,12,나의 오랜 연인에게,다비치
2020-01-03,13,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA"
2020-01-03,14,헤어진 우리가 지켜야 할 것들,"양다일, 김나영"
2020-01-03,15,조금 취했어 (Prod. 2soo),임재현
2020-01-03,16,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
2020-01-03,17,안녕,폴킴
2020-01-03,18,사랑이란 멜로는 없어,전상근
2020-01-03,19,십이월 이십오일의 고백,정승환
2020-01-03,20,이 번호로 전화해줘,바이브
2020-01-03,21,빌었어,창모 (CHANGMO)
2020-01-03,22,새 사랑,송하예
2020-01-03,23,"인기 (Feat. 송가인, 챈슬러)",MC몽
2020-01-03,24,있어줘요,장덕철
2020-01-03,25,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
2020-01-03,26,2002,Anne-Marie
2020-01-03,27,시든 꽃에 물을 주듯,HYNN (박혜원)
2020-01-03,28,첫 겨울이니까,"성시경, 아이유"
2020-01-03,29,포장마차,황인욱
2020-01-03,30,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2020-01-03,31,니 소식,송하예
2020-01-03,32,이별주,황인욱
2020-01-03,33,다시 만날까 봐,V.O.S
2020-01-03,34,BAND,"창모 (CHANGMO), Hash Swan, 김효은, ASH ISLAND"
2020-01-03,35,불티 (Spark),태연 (TAEYEON)
2020-01-03,36,시간의 바깥,아이유
2020-01-03,37,"Show Yourself (From ""Frozen 2""/Soundtrack Version)","Evan Rachel Wood, Idina Menzel"
2020-01-03,38,기억해줘요 내 모든 날과 그때를,거미
