Date,Rank,Title,Artist,Score
2018-10-30,35,Change (Feat. GRAY) (Prod. 코드 쿤스트),키드밀리 (Kid Milli),7
2018-10-30,36,벚꽃연가,첸 (CHEN),7
2018-10-30,37,억 (Feat. CHANGMO) (Prod. CHANGMO),수퍼비 (SUPERBEE),7
2018-10-30,38,가을 안부,먼데이 키즈 (Monday Kiz),7
2018-10-30,39,여행,볼빨간사춘기,7
2018-10-30,40,Power Up,Red Velvet (레드벨벳),7
2018-10-30,41,그때 헤어지면 돼,로이킴,6
2018-10-30,42,Friend,비투비,6
2018-10-30,43,동화,멜로망스,6
2018-10-30,44,너나 해 (Egotistic),마마무 (Mamamoo),6
2018-10-30,45,Hate You (Feat. 우원재) (Prod. 코드 쿤스트),pH-1,6
2018-10-30,46,봄날,방탄소년단,6
2018-10-30,47,사랑을 했다 (LOVE SCENARIO),iKON,6
2018-10-30,48,"셋 셀테니 (1, 2, 3!)",승리,6
2018-10-30,49,그날처럼,장덕철,6
2018-10-30,50,너 없인 안 된다,비투비,6
2018-10-30,51,Forever Young,BLACKPINK,5
2018-10-30,52,Euphoria,방탄소년단,5
2018-10-30,53,1도 없어,Apink (에이핑크),5
2018-10-30,54,SoulMate (Feat. 아이유),지코 (ZICO),5
2018-10-30,55,선물,멜로망스,5
2018-10-30,56,DNA,방탄소년단,5
2018-10-30,57,주지마,"로꼬, 화사 (Hwa Sa)",5
2018-10-30,58,넋두리,닐로(Nilo),5
2018-10-30,59,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,5
2018-10-30,60,Miss You,에릭남 (Eric Nam),5
2018-10-30,61,그리워하다,비투비,4
2018-10-30,62,You,멜로망스,4
2018-10-30,63,119 (Feat. GRAY),"수퍼비 (SUPERBEE), 나플라 (nafla), 키드밀리 (Kid Milli), pH-1, 루피 (Loopy), OLNL (오르내림)",4
2018-10-30,64,한(一),(여자)아이들,4
2018-10-30,65,HandClap,Fitz & The Tantrums,4
2018-10-30,66,매트리스,10CM,4
2018-10-30,67,좋은 날,멜로망스,4
2018-10-30,68,Answer : Love Myself,방탄소년단,4
2018-10-30,69,My Way,이수 (엠씨더맥스),4
2018-10-30,70,이별의 온도,린,4
2018-10-30,71,너에게,김민석 (멜로망스),3
2018-10-30,72,나,박원,3
2018-10-30,73,Shape of You,Ed Sheeran,3
2018-10-30,74,잘 지내요,정승환,3
2018-10-30,75,죽겠다 (KILLING ME),iKON,3
2018-10-30,76,물어 (Prod. 기리보이),나플라 (nafla),3
2018-10-30,77,YOUNG,"백현 (BAEKHYUN), 로꼬",3
2018-10-30,78,Havana (Feat. Young Thug),Camila Cabello,3
2018-10-30,79,Universe,EXO,3
2018-10-30,80,도망가지마,모트 (Motte),3
2018-10-30,81,Epiphany,방탄소년단,2
2018-10-30,82,GOD GOD GOD,EK,2
2018-10-30,83,Make Up (Feat. Crush),샘김 (Sam Kim),2
2018-10-30,84,Not A Love,바이브,2
2018-10-30,85,Anpanman,방탄소년단,2
2018-10-30,86,Trivia 轉 : Seesaw,방탄소년단,2
2018-10-30,87,넌 (none),Crush,2
2018-10-30,88,밤 (Time for the moon night),여자친구 (GFRIEND),2
2018-10-30,89,에너제틱 (Energetic),Wanna One (워너원),2
2018-10-30,90,Chandelier,Sia,2
2018-10-30,91,Waste It On Me (feat. BTS (방탄소년단)),Steve Aoki,1
2018-10-30,92,Perfect,10CM,1
2018-10-30,93,소나기 (Feat. 10cm),용준형,1
2018-10-30,94,"브레이킹배드 (Feat. 기리보이) (Prod. Cosmic Boy, 기리보이)",OLNL (오르내림),1
2018-10-30,95,별이 빛나는 밤,마마무 (Mamamoo),1
2018-10-30,96,Trivia 起 : Just Dance,방탄소년단,1
2018-10-30,97,Beautiful,Wanna One (워너원),1
2018-10-30,98,Airplane pt.2,방탄소년단,1
2018-10-30,99,Love U,청하,1
2018-10-30,100,켜줘 (Light),Wanna One (워너원),1
2018-10-31,1,너를 만나,폴킴,10
2018-10-31,2,삐삐,아이유,10
2018-10-31,3,가을 타나 봐,바이브,10
2018-10-31,4,고백,양다일,10
2018-10-31,5,하루도 그대를 사랑하지 않은 적이 없었다,임창정,10
2018-10-31,6,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"키드밀리 (Kid Milli), pH-1, 루피 (Loopy)",10
2018-10-31,7,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,10
2018-10-31,8,시간이 들겠지 (Feat. Colde),로꼬,10
2018-10-31,9,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,10
2018-10-31,10,Way Back Home,숀 (SHAUN),10
2018-10-31,11,우리 그만하자,로이킴,9
